time,MAC address,pi1,pi2,pi3,pi4,pi5,x,y,floor
2020-02-21 14:41:37.802804,b8f0be78495634062b2179455031e7419428b11b86c258d62a3cda4d78c0f811,-150,-67,-63,-59,-41,169,73,0
2020-02-21 14:41:45.200773,1f217e4896384849cd5a4b23371775044be5fca7558e79de505326390125ee3d,-65,-150,-150,-150,-150,179,93,0
2020-02-21 14:41:49.327039,01dcb42468ee6985b8593ccced4a4f2814c77fbdd8cbf4209de008426a023014,-39,-150,-150,-150,-150,211,45,0
2020-02-21 14:41:53.405440,b8f0be78495634062b2179455031e7419428b11b86c258d62a3cda4d78c0f811,-150,-63,-63,-57,-43,177,65,0
2020-02-21 14:42:16.442509,01dcb42468ee6985b8593ccced4a4f2814c77fbdd8cbf4209de008426a023014,-53,-150,-150,-150,-150,209,44,0
2020-02-21 14:42:10.230041,b8f0be78495634062b2179455031e7419428b11b86c258d62a3cda4d78c0f811,-150,-150,-61,-150,-150,168,75,0
2020-02-21 14:42:30.990416,60269c6d8e594270fd08781821746aedef231bc038a870ddb43a0c1d5a37c0fb,-73,-150,-150,-150,-150,158,38,0
2020-02-21 14:42:43.253978,b8f0be78495634062b2179455031e7419428b11b86c258d62a3cda4d78c0f811,-150,-65,-59,-57,-150,168,82,0
2020-02-21 14:43:02.708307,ac6e93f84969ae0117602c1b10cfadeddbb1b9cc579754f6a52d8d187160c987,-63,-150,-150,-150,-150,219,37,0
2020-02-21 14:43:02.011800,01dcb42468ee6985b8593ccced4a4f2814c77fbdd8cbf4209de008426a023014,-39,-150,-150,-150,-150,210,44,0
2020-02-21 14:43:10.596999,151995537f675ed0ea49a4388086d4abeb05d5fc517bae17baf6a2c0e9bc91af,-150,-71,-59,-150,-150,108,64,0
2020-02-21 14:43:12.554805,01dcb42468ee6985b8593ccced4a4f2814c77fbdd8cbf4209de008426a023014,-37,-150,-150,-150,-150,177,80,0
2020-02-21 14:43:12.166040,b8f0be78495634062b2179455031e7419428b11b86c258d62a3cda4d78c0f811,-150,-65,-150,-57,-150,160,75,0
2020-02-21 14:43:25.143502,0ef0f2903fa75de99504267d4051a6945545d8a2a1fda4ee16b07bc4905fd336,-150,-65,-65,-59,-45,139,74,0
