time,MAC,break
2019-10-01,1321,False
2019-10-02,8976,False
2019-10-03,9059,False
2019-10-04,7470,False
2019-10-05,3163,False
2019-10-06,3513,False
2019-10-07,8414,False
2019-10-08,9217,False
2019-10-09,9074,False
2019-10-10,8563,False
2019-10-11,1913,True
2019-10-12,1122,True
2019-10-13,1810,True
2019-10-14,8509,False
2019-10-15,8349,False
2019-10-16,7866,False
2019-10-17,8421,False
2019-10-18,7148,False
2019-10-19,3707,False
2019-10-20,3682,False
2019-10-21,7943,False
2019-10-22,7957,False
2019-10-23,7862,False
2019-10-24,8044,False
2019-10-25,6665,False
2019-10-26,2175,False
2019-10-27,2813,False
2019-10-28,7774,False
2019-10-29,8230,False
2019-10-30,7748,False
2019-10-31,7409,False
2019-11-01,6143,False
2019-11-02,2506,False
2019-11-03,3028,False
2019-11-04,7714,False
2019-11-05,7732,False
2019-11-06,7684,False
2019-11-07,8083,False
2019-11-08,6595,False
2019-11-09,2323,False
2019-11-10,3045,False
2019-11-11,7521,False
2019-11-12,8135,False
2019-11-13,8024,False
2019-11-14,8635,False
2019-11-15,6820,False
2019-11-16,2587,False
2019-11-17,3123,False
2019-11-18,7618,False
2019-11-19,8070,False
2019-11-20,7863,False
2019-11-21,7768,False
2019-11-22,6450,False
2019-11-23,2265,False
2019-11-24,2751,False
2019-11-25,7114,False
2019-11-26,5913,False
2019-11-27,806,True
2019-11-28,275,True
2019-11-29,363,True
2019-11-30,346,True
2019-12-01,1116,True
2019-12-02,7346,False
2019-12-03,8096,False
2019-12-04,8056,False
2019-12-05,7792,False
2019-12-06,6874,False
2019-12-07,2809,False
2019-12-08,3328,False
2019-12-09,6137,False
2019-12-10,6182,False
2019-12-11,5733,False
2019-12-12,5782,False
2019-12-13,4453,False
2019-12-14,654,True
2019-12-15,517,True
2019-12-16,771,True
2019-12-17,778,True
2019-12-18,822,True
2019-12-19,819,True
2019-12-20,819,True
2019-12-21,341,True
2019-12-22,313,True
2019-12-23,556,True
2019-12-24,264,True
2019-12-25,184,True
2019-12-26,309,True
2019-12-27,342,True
2019-12-28,262,True
2019-12-29,227,True
2019-12-30,349,True
2019-12-31,323,True
2020-01-01,292,True
2020-01-02,910,True
2020-01-03,809,True
2020-01-04,345,True
2020-01-05,350,True
2020-01-06,1098,True
2020-01-07,1106,True
2020-01-08,1116,True
2020-01-09,1240,True
2020-01-10,958,True
2020-01-11,401,True
2020-01-12,432,True
2020-01-13,1156,True
2020-01-14,1134,True
2020-01-15,1164,True
2020-01-16,1229,True
2020-01-17,1138,True
2020-01-18,389,True
2020-01-19,443,True
2020-01-20,558,True
2020-01-21,1251,True
2020-01-22,1252,True
2020-01-23,1477,True
2020-01-24,1653,True
2020-01-25,802,True
2020-01-26,1828,True
2020-01-27,7927,False
2020-01-28,7331,False
2020-01-29,7796,False
2020-01-30,7181,False
2020-01-31,5870,False
2020-02-01,3326,False
2020-02-02,3245,False
2020-02-03,7003,False
2020-02-04,6927,False
2020-02-05,7366,False
2020-02-06,6824,False
2020-02-07,5936,False
2020-02-08,2899,False
2020-02-09,2718,False
2020-02-10,6279,False
2020-02-11,6773,False
